rostime,x,y,z,rot_x,rot_y,rot_z
1337088376596776008,-0.161358927318,-4.51172128369,1.40364984613,-0.401708932016,0.576323356973,0.498120779482,0.508288315028
1337088376606746912,-0.16225187201,-4.51205232014,1.40394902772,-0.401842887252,0.575297466327,0.499205867267,0.508280061865
1337088376616693973,-0.163098313493,-4.51233219634,1.40427323745,-0.40220531705,0.574821378514,0.499892223806,0.507857293261
1337088376626684904,-0.164003212865,-4.51266838062,1.40479362681,-0.401715424275,0.574288096807,0.501165176916,0.507593700917
1337088376637090921,-0.164864181433,-4.51298352066,1.40547977016,-0.401368044308,0.573567218803,0.502063081892,0.507796219289
1337088376646843910,-0.165643456581,-4.51308813899,1.40560885741,-0.401733634835,0.574526650371,0.501755058239,0.506725839273
1337088376656879901,-0.166401749005,-4.51339472274,1.405956963,-0.401569112588,0.575043702634,0.502059334213,0.505967798191
1337088376666637897,-0.16726593596,-4.51362262288,1.40622028483,-0.401271291039,0.575132825834,0.502883497898,0.505283852086
1337088376676744937,-0.16802531593,-4.51371406268,1.40642551899,-0.401044547763,0.575121168787,0.503920233117,0.504443565306
1337088376687156915,-0.169130823836,-4.51378008133,1.40656217757,-0.400598609603,0.575719545759,0.505254826756,0.502777603573
1337088376696533918,-0.170333304998,-4.51367273695,1.40656134513,-0.400130095108,0.576308410411,0.507592946328,0.500113910941
1337088376706897020,-0.17172550914,-4.51372799793,1.40664471437,-0.400277535713,0.577248349145,0.510464259019,0.49597225535
1337088376716474056,-0.172958736817,-4.51360443522,1.40658758634,-0.40090967397,0.578126160381,0.512440016997,0.492388875768
1337088376726660966,-0.174027487244,-4.51368293169,1.406771502,-0.401531785101,0.578735804502,0.513721050191,0.489824230446
1337088376737008094,-0.174859805526,-4.5138004763,1.4072240986,-0.401486786173,0.578273651585,0.51524120644,0.488809209813
1337088376746628046,-0.175931877131,-4.51390336225,1.40755269809,-0.401826709778,0.578361884294,0.516760360911,0.486817784696
1337088376756589889,-0.17694988836,-4.513813516,1.40757861459,-0.402755252223,0.578696657472,0.518443809471,0.483853698818
1337088376766494989,-0.17804196089,-4.51360847377,1.40762223535,-0.403330447146,0.578285022382,0.520075309331,0.482112700433
1337088376776607036,-0.17905701646,-4.51352471145,1.40762835985,-0.403204570001,0.578301390833,0.521356375129,0.480812963847
1337088376786853075,-0.179966367979,-4.51356381976,1.40766412185,-0.403529374077,0.579181596453,0.521230250108,0.479616251767
1337088376796509981,-0.180791702863,-4.51351398449,1.4076054581,-0.403553507028,0.579884142073,0.521057942532,0.478933783798
1337088376806726932,-0.181673372328,-4.51357224606,1.40758441501,-0.402817001093,0.580510319807,0.521385565627,0.478438422562
1337088376816596031,-0.182437597001,-4.51360774719,1.40756175169,-0.402027835305,0.580747290848,0.521970282668,0.478176983788
1337088376826744079,-0.183208208273,-4.51351944794,1.40754669907,-0.401797441724,0.580954286665,0.522323076043,0.477733751019
1337088376837125062,-0.183958283408,-4.51342012584,1.40742910586,-0.401727293412,0.58099381183,0.522698620867,0.47733376592
1337088376846617937,-0.184829743638,-4.51321194834,1.40726191393,-0.401539149333,0.58113829623,0.523469754886,0.476470364165
1337088376856585979,-0.18569425598,-4.51304454722,1.40710148411,-0.401701969814,0.581192346982,0.52425232483,0.475405598587
1337088376866564989,-0.186650360697,-4.51275507518,1.40692612486,-0.402205040066,0.580978819037,0.525037328787,0.474373819847
1337088376876657962,-0.187635890485,-4.5125832766,1.4068001968,-0.402468894993,0.581368513754,0.52523826816,0.473449259625
1337088376886683940,-0.188520363205,-4.51242254519,1.40655836327,-0.402752051608,0.582229259879,0.525031022617,0.472379401707
1337088376896672964,-0.189558490312,-4.51222522364,1.40633435669,-0.402910029782,0.58338544081,0.524312405234,0.471615772711
1337088376906735897,-0.190476443103,-4.51211465401,1.40616332498,-0.403111641836,0.584752915853,0.523350476337,0.470817704144
1337088376916608095,-0.191178725952,-4.51198498351,1.40614138865,-0.402672440137,0.586049384107,0.522583592393,0.470433219813
1337088376926660060,-0.191808781702,-4.51175465387,1.40613847115,-0.40201063715,0.58717804205,0.52183739612,0.470420159606
1337088376936705112,-0.192379271784,-4.51154672826,1.40616068335,-0.401831731384,0.588400831357,0.520813738699,0.470179509223
1337088376946655988,-0.193027783803,-4.5113079706,1.40610026919,-0.401992265941,0.589019625281,0.520343719176,0.469787731929
1337088376956646919,-0.193828288122,-4.51106722163,1.40598132539,-0.401872110194,0.589758516348,0.520139529493,0.469189268101
1337088376966681003,-0.194640409186,-4.51077854468,1.40585025642,-0.401943657365,0.590730405434,0.520000642262,0.46805791997
1337088376976639986,-0.195247980726,-4.51037643342,1.40576244144,-0.401430033954,0.591605138691,0.520078713814,0.467306558002
1337088376987066984,-0.196071157834,-4.5099801062,1.4057096186,-0.399806681178,0.591052111042,0.52201671949,0.467237160648
1337088376996793031,-0.196615644211,-4.50974122387,1.40582776946,-0.399234778798,0.591550877668,0.52198150126,0.467134309242
1337088377006663084,-0.197025979072,-4.50948212929,1.40580523319,-0.399202853384,0.592017789629,0.521548967444,0.467053201649
1337088377016546010,-0.197439894638,-4.50923453507,1.40585422789,-0.399258231395,0.592125155326,0.521385182331,0.467052627377
1337088377026539087,-0.197786144517,-4.50899511298,1.40604146674,-0.399220309044,0.592453955993,0.521170236591,0.466907955989
1337088377037044048,-0.198261457213,-4.50894196989,1.40629290074,-0.39950848204,0.591776941514,0.521574089401,0.467069045791
1337088377046617984,-0.19854299826,-4.50872620425,1.40645318929,-0.399703043468,0.591530268568,0.521581385911,0.467206888094
