TimeStamp (sec)	 , x Axis	 , Y Axis
6.997180157	 ,-146.367	 , 123.515
7.23991852	 ,-144.515	 , 122.34
7.53418378	 ,-145.852	 , 117.843
7.79329734	 ,-144.617	 , 114.008
7.113343284	 ,-146.907	 , 103.18
7.147696652	 ,-139.51	 , 97.45
7.172801910	 ,-140.577	 , 89.0725
7.204678087	 ,-141.497	 , 80.6775
7.232005305	 ,-142.147	 , 81.235
7.260027424	 ,-138.39	 , 73.46
7.288316712	 ,-138.852	 , 70.0075
7.325169721	 ,-138.102	 , 67.04
7.351550977	 ,-133.985	 , 62.88
7.382242396	 ,-133.917	 , 62.3375
7.415406864	 ,-133.13	 , 60.5925
7.447420509	 ,-134.027	 , 57.7025
7.479258862	 ,-135.18	 , 52.8
7.513116329	 ,-137.73	 , 50.92
7.540477461	 ,-140.305	 , 51.2775
7.571430159	 ,-142.57	 , 58.955
7.599706183	 ,-132.902	 , 48.3325
7.631278586	 ,-129.557	 , 44.7125
7.664642049	 ,-135.172	 , 43.315
7.697223241	 ,-134.105	 , 36.0375
7.723248903	 ,-135.302	 , 39.7775
7.753664996	 ,-133.88	 , 32.865
7.782815288	 ,-128.327	 , 25.8325
7.810213396	 ,-125.397	 , 23.9325
7.834893231	 ,-120.1	 , 23.4025
7.860825947	 ,-113.307	 , 16.88
7.886852268	 ,-113.132	 , 23.03
7.920876479	 ,-107.912	 , 21.3075
7.947199973	 ,-99.9274	 , 21.22
7.980127529	 ,-93.7924	 , 22.445
8.11602246	 ,-88.0674	 , 24.33
8.42100630	 ,-81.4174	 , 23.1775
8.75494568	 ,-75.8474	 , 19.48
8.103598108	 ,-69.3399	 , 19.5675
8.130988395	 ,-64.7449	 , 22.7475
8.158582711	 ,-57.1274	 , 16.8175
8.192376572	 ,-55.9924	 , 13.925
8.229256088	 ,-50.5324	 , 21.665
8.261652038	 ,-42.4624	 , 15.835
8.290102154	 ,-38.5174	 , 20.7825
8.318284979	 ,-32.3874	 , 26.56
8.347825182	 ,-26.0049	 , 24.4075
8.372502104	 ,-20.4249	 , 23.38
8.402810636	 ,-14.7924	 , 23.29
8.427884962	 ,-6.91744	 , 20.04
8.462210707	 ,0.0800558	 , 17.3475
8.497267254	 ,6.46006	 , 12.94
8.524177611	 ,6.09756	 , 19.195
8.556224538	 ,7.68256	 , 15.145
8.587153598	 ,17.0951	 , 16.665
8.616972524	 ,21.0251	 , 13.2425
8.649929151	 ,21.7076	 , 24.9775
8.688844252	 ,33.7476	 , 27.6
8.724740885	 ,37.8601	 , 32.64
8.759946563	 ,43.4276	 , 42.6675
8.794278534	 ,53.7951	 , 43.6075
8.830338343	 ,54.1576	 , 52.8725
8.862533356	 ,57.7326	 , 52.8725
8.895668410	 ,65.8226	 , 44.575
8.925511393	 ,73.8576	 , 46.5825
8.956135638	 ,80.1976	 , 49.0925
8.986942458	 ,77.1801	 , 50.2625
9.16133324	 ,69.7651	 , 59.7325
9.53732942	 ,80.3601	 , 55.9975
9.88051382	 ,82.3576	 , 65.825
9.114842167	 ,91.2626	 , 65.855
9.143470735	 ,96.3651	 , 64.135
9.185182861	 ,97.7925	 , 66.8125
9.214450746	 ,100.833	 , 66.285
9.244790318	 ,104.805	 , 72.2825
9.272341667	 ,110.203	 , 70.1525
9.299555978	 ,115.403	 , 69.3025
9.333954547	 ,119.308	 , 73.115
9.360021658	 ,127.59	 , 77.445
9.392071841	 ,137.138	 , 82.665
9.424114486	 ,144.77	 , 89.18
9.454323881	 ,151.365	 , 92.995
9.492590740	 ,153.675	 , 97.6851
9.517323614	 ,155.358	 , 102.885
9.543678325	 ,159.45	 , 104.13
9.568671054	 ,165.06	 , 108.888
9.599833926	 ,173.713	 , 110.96
9.634361116	 ,178.29	 , 119.783
9.667757496	 ,184.228	 , 126.238
9.700417496	 ,188.203	 , 135.133
9.731365950	 ,192.11	 , 147.058
9.758513514	 ,197.165	 , 153.705
9.783780867	 ,201.683	 , 159.288
9.814660158	 ,206.52	 , 164.555
9.840319852	 ,212.07	 , 158.548
9.875830001	 ,213.443	 , 155.073
9.907475204	 ,219.985	 , 151.198
9.943741289	 ,227.26	 , 159.15
9.976626652	 ,236.053	 , 156.305
10.7502925	 ,242.065	 , 156.88
10.37798117	 ,243.208	 , 168.835
10.67294955	 ,252.73	 , 165.563
10.103917761	 ,258.32	 , 166.323
10.130469580	 ,261.048	 , 162.43
10.165747141	 ,268.838	 , 155.055
10.198693713	 ,271.373	 , 146.38
10.227203142	 ,273.765	 , 147.933
10.256869556	 ,278.11	 , 140.623
10.289510302	 ,280.153	 , 144.688
10.320677643	 ,281.043	 , 149.548
10.349292849	 ,285.693	 , 150.783
10.374483928	 ,290.328	 , 149.125
10.401421547	 ,289.68	 , 158.248
10.433437217	 ,271.68	 , 148.406
10.463460725	 ,276.948	 , 152.113
10.491451791	 ,288.403	 , 145.022
10.519075424	 ,271.884	 , 148.311
10.546451402	 ,269.356	 , 140.371
10.573025936	 ,273.122	 , 152.456
10.597925924	 ,282.368	 , 124.569
10.622659661	 ,286.917	 , 116.821
10.650323656	 ,284.207	 , 101.742
10.681582742	 ,297.253	 , 88.1784
10.715009046	 ,298.445	 , 82.4989
