rostime,x,y,z,rot_x,rot_y,rot_z
1331830614409509897,10.5312859745,-182.931603653,899.560662918,3.11432825243,-0.0235554091542,2.95414190659
1331830614419517993,10.4703603763,-183.361470662,899.638596374,3.11552683681,-0.0238450575349,2.95401397558
1331830614429569959,10.4007747465,-183.826615701,899.666389599,3.11627933413,-0.0232529076871,2.95359308961
1331830614439630985,10.1239762022,-183.40747757,900.000485492,3.11974586086,-0.0256748569699,2.96230233581
1331830614449569940,10.2787077391,-184.680846571,899.910199198,3.1174161006,-0.0212099355362,2.95317291743
1331830614459505081,10.0210830797,-185.364773209,900.578665219,3.11279834597,-0.0238996271855,2.95243369646
1331830614469907045,9.91307434084,-185.84917551,900.799336917,3.11338042842,-0.0244036978273,2.95173418981
1331830614479770898,9.82862700868,-186.409774096,901.016996291,3.11513760233,-0.0262808296116,2.9510651484
1331830614489583015,9.72002044981,-186.91038639,900.83819273,3.12038586469,-0.025715616149,2.95064306143
1331830614499767065,9.37504635797,-186.480713707,901.268966824,3.12254381902,-0.033319892686,2.96157274652
1331830614509490013,9.15952841594,-187.204424794,901.513833405,3.12115024343,-0.0348271684686,2.96156693868
1331830614519659996,9.08534377371,-188.014559567,901.483699127,3.11957032191,-0.0383688059162,2.9614532884
1331830614529453039,9.40341795675,-189.976861538,901.336197705,3.1172766769,-0.0331780223302,2.95228377154
1331830614539710998,9.4855947495,-190.717876319,901.686307196,3.11841116273,-0.0328187954066,2.95222076972
1331830614549735069,9.68772144718,-191.498672467,902.015655721,3.11935540939,-0.0327998823435,2.95378824847
