MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs,x,y,z,rot_x,rot_y,rot_z,rot_w
1245,1348766481,751189947,1348766481,744383204,-0.458373070315,-2.92673655262,0.811858963582,0.00961370135712,0.0389703246013,0.0717155069647,0.996617166523
1246,1348766481,761130094,1348766481,754368187,-0.459107169679,-2.9269052151,0.812151494336,0.0172093700046,0.040512833885,0.0698201676053,0.996588025249
1247,1348766481,771123886,1348766481,764335635,-0.459408447266,-2.92666315884,0.811765592523,0.0136519676927,0.0435059198016,0.0729940807709,0.996289477458
1248,1348766481,781023025,1348766481,774306614,-0.459907871235,-2.9273113461,0.812351679136,0.015163409396,0.0409120144007,0.0717264491953,0.996469565305
1249,1348766481,791322946,1348766481,784335221,-0.460379754266,-2.92753750073,0.812551089044,0.0123985166772,0.0388706153973,0.0697999447227,0.996726301328
1250,1348766481,800987958,1348766481,794330342,-0.460630742592,-2.92784648425,0.812670367825,0.0163434063801,0.0385394782837,0.0701804478292,0.996655560574
1251,1348766481,811055898,1348766481,804287974,-0.460954056585,-2.92826931802,0.812531734132,0.0174804557102,0.0394145847237,0.0706120104842,0.996571556966
1252,1348766481,821055889,1348766481,814330295,-0.461205869167,-2.92873174283,0.812147975689,0.0171146133397,0.0409315601979,0.0696984773771,0.996581065263
1253,1348766481,831109046,1348766481,824340935,-0.46160467022,-2.9288038679,0.811933894188,0.0186640026097,0.0391383013321,0.0708861671418,0.996541519297
1254,1348766481,841171026,1348766481,834360769,-0.461771201603,-2.92950468006,0.811741531624,0.0128326713238,0.0398823491116,0.0698396497139,0.996678054391
1255,1348766481,850872993,1348766481,844285271,-0.461963731076,-2.92988204274,0.81150066787,0.0146315631418,0.0391562420545,0.0706577594259,0.9966243962
1256,1348766481,861134052,1348766481,854326821,-0.461852941117,-2.93011091841,0.810981915472,0.0111704819079,0.0397008829481,0.0704724963678,0.996660768508
1257,1348766481,870906114,1348766481,864292856,-0.461817197403,-2.93046682204,0.810391774473,0.012018845857,0.0408914829079,0.0709781882206,0.9965668722
1258,1348766481,881093978,1348766481,874309887,-0.461901543509,-2.93076870133,0.809957086524,0.0109761565195,0.0402230498648,0.0730162929847,0.996458855752
1259,1348766481,891489028,1348766481,884343610,-0.461834494417,-2.93066890561,0.809642012422,0.0123782412058,0.0397806508506,0.0712460827807,0.996588317537
1260,1348766481,901117086,1348766481,894368881,-0.461573890198,-2.93119408691,0.809432100507,0.0105096689546,0.038585229937,0.0718229313286,0.996615368848
1261,1348766481,910866975,1348766481,904313421,-0.461523982265,-2.93133556151,0.808891092903,0.0100073423602,0.0388985985346,0.0731004212599,0.996515469294
1262,1348766481,921006917,1348766481,914318142,-0.461135089998,-2.93159818884,0.808421409348,0.0102593915017,0.0381945481665,0.0730846207993,0.996541298481
1263,1348766481,931221008,1348766481,924351012,-0.460859984604,-2.93190260699,0.807697497212,0.00657656989632,0.0379471653246,0.0743059948097,0.996491535593
1264,1348766481,941493034,1348766481,934369598,-0.460117470029,-2.93211011218,0.807281060914,0.0157824393686,0.0361371650961,0.0754832828795,0.996367047785
1265,1348766481,951194047,1348766481,944368120,-0.459687159742,-2.9328157446,0.806419281694,0.00568694896131,0.0347201512941,0.0748461117826,0.996574246736
1266,1348766481,961098909,1348766481,954371319,-0.45904991263,-2.93311999519,0.805909032213,0.00658114030258,0.0352306944913,0.0746484457772,0.996565650773
1267,1348766481,971028089,1348766481,964358777,-0.458661002824,-2.93316761328,0.805000781391,0.0104521361103,0.0368640512666,0.0731075458326,0.996587718827
1268,1348766481,980988979,1348766481,974322263,-0.457945093181,-2.93353869007,0.804117065157,0.00876703922442,0.0374928550551,0.0728495134547,0.996599404592
1269,1348766481,991357088,1348766481,984315244,-0.456919157468,-2.93335741445,0.80363234753,0.0157285361715,0.036011760926,0.0755160075667,0.996369960821
1270,1348766482,1157999,1348766481,994312470,-0.456296663957,-2.93387156556,0.802888203119,0.0087383549035,0.0359869644258,0.0722902433762,0.996695891563
1271,1348766482,11292934,1348766482,4349851,-0.455577850333,-2.93478722949,0.802285333522,0.0039766001301,0.0330094524057,0.0751275075201,0.996619496256
1272,1348766482,21162033,1348766482,14375091,-0.45467155295,-2.93477393504,0.801220841942,0.00616602326229,0.0345099984608,0.0751129821808,0.996558618482
1273,1348766482,31019926,1348766482,24342220,-0.45355701043,-2.93469563317,0.800465193887,0.0126297445255,0.032810620816,0.0738619702785,0.996648564972
1274,1348766482,41846990,1348766482,34355342,-0.452647405054,-2.93478501492,0.799606169727,0.0138625552202,0.0332213142476,0.0755852973233,0.996489356025
1275,1348766482,51369905,1348766482,44367924,-0.451330879844,-2.93457780858,0.798461154389,0.0134388864429,0.0318116382466,0.0730385210943,0.99673105221
1276,1348766482,61079025,1348766482,54436947,-0.450321323115,-2.93501780404,0.797463614704,0.0132742644525,0.0325242871808,0.0751490239311,0.996553354743
1277,1348766482,70981025,1348766482,64377806,-0.449449067787,-2.93547002107,0.796527627608,0.0183304555022,0.0352393988539,0.0762710152932,0.996295594387
1278,1348766482,81199884,1348766482,74338021,-0.447984890678,-2.93614453356,0.795162388137,0.0104066392694,0.034110591706,0.0764573027931,0.996434870045
1279,1348766482,91728925,1348766482,84372495,-0.446887028844,-2.93657610199,0.794439317814,0.00404773429986,0.0326120051915,0.0763740407105,0.996537545138
1280,1348766482,101007938,1348766482,94364452,-0.445698399896,-2.93591505542,0.793208506603,0.00909186696652,0.0291940182242,0.0745147062509,0.996751024984
1281,1348766482,111145973,1348766482,104349006,-0.444595192276,-2.93651376015,0.791834226738,0.00687881685259,0.0284635200299,0.0777357647012,0.996543857937
1282,1348766482,121507883,1348766482,114403752,-0.443229193816,-2.93628695584,0.790404527248,0.00888653958639,0.0326914229802,0.0759298849484,0.996537481909
1283,1348766482,131275892,1348766482,124453516,-0.441950165914,-2.93682422138,0.789505865179,0.00989179014721,0.0312330760857,0.0803640478512,0.996227015925
1284,1348766482,142031908,1348766482,134449678,-0.440403810954,-2.93700622411,0.788129788701,0.00963734305465,0.029986937838,0.0812813888811,0.996193375304
1285,1348766482,151046037,1348766482,144294452,-0.438851174485,-2.93691169674,0.787500770138,0.0157956289525,0.029230073848,0.0804168941518,0.996207420181
1286,1348766482,161019086,1348766482,154378548,-0.437269057477,-2.937252371,0.786067504545,0.00939694549575,0.0275936292334,0.0775088421813,0.996565436098
1287,1348766482,170892953,1348766482,164338433,-0.43556713651,-2.93745961524,0.784798768166,0.0062476664267,0.0342646666223,0.0754173923928,0.996543584702
1288,1348766482,181003093,1348766482,174313698,-0.433924316528,-2.93759084897,0.783601969824,0.00720331686708,0.0311878621546,0.0755785037562,0.996625967578
1289,1348766482,191596031,1348766482,184361303,-0.432095450819,-2.93792288106,0.7823173428,0.00847407420367,0.0324914777956,0.0773497618528,0.996438411684
1290,1348766482,201162099,1348766482,194346383,-0.430340437266,-2.93818607449,0.781305319028,0.0105127763005,0.0306262617154,0.0775045913628,0.996466031506
1291,1348766482,211019039,1348766482,204325558,-0.428952896833,-2.9380668295,0.779946016698,0.00875816185707,0.0318217092154,0.0775163128075,0.996444626998
1292,1348766482,220879077,1348766482,214280519,-0.42682657966,-2.93804697661,0.778368037737,0.0110289809534,0.0289288505932,0.0767758402619,0.996567586034
1293,1348766482,231152057,1348766482,224345722,-0.425086963132,-2.93821412522,0.777141107924,0.00851162297833,0.0301560135578,0.0755133042092,0.996652350626
1294,1348766482,241199016,1348766482,234309172,-0.423201505183,-2.93866905588,0.776057639795,0.0067714155722,0.0300273051939,0.0773204955876,0.996531007965
1295,1348766482,251008987,1348766482,244318179,-0.421089265321,-2.93895166537,0.774691028397,0.00675615415935,0.0279344665308,0.0801786348157,0.996366100628
1296,1348766482,261143922,1348766482,254363357,-0.419083339177,-2.93870494035,0.773684566263,0.0128324686117,0.0291637238225,0.0778530497736,0.996455572318
1297,1348766482,270981073,1348766482,264300798,-0.417235634859,-2.93905924332,0.772552538582,0.00830368187624,0.0333683760385,0.078726374884,0.996303045386
1298,1348766482,281186103,1348766482,274376589,-0.415177869338,-2.93900548048,0.770987855854,0.00849823296975,0.0315195536459,0.078727942738,0.996361485008
1299,1348766482,291616916,1348766482,284425685,-0.412912742443,-2.93951198053,0.769371701571,0.00516998288438,0.0310501079193,0.0769089779385,0.996541103612
1300,1348766482,301068067,1348766482,294363790,-0.411054908107,-2.93918533231,0.768089960008,0.00851983289194,0.0331041938639,0.07919872953,0.996272596249
1301,1348766482,310947895,1348766482,304336590,-0.408988810414,-2.93954777688,0.767011758891,0.0102594711897,0.0335388900401,0.0810291345699,0.996094456092
1302,1348766482,320883989,1348766482,314300520,-0.406709458145,-2.93954978326,0.765567648211,0.00642207227605,0.0289211436533,0.0794984345571,0.996394662441
1303,1348766482,331219911,1348766482,324409222,-0.404567349468,-2.93948098198,0.764180868364,0.00826849763219,0.0277238963504,0.0795389904065,0.996411845836
1304,1348766482,341478109,1348766482,334393885,-0.402052291443,-2.93938220845,0.762638270064,0.00667188252192,0.0286841162132,0.077848642824,0.99653012813
1305,1348766482,351335048,1348766482,344285489,-0.399751217569,-2.93998994341,0.761380983573,0.00319211403758,0.0298486623365,0.0827672485471,0.996116685099
1306,1348766482,361227035,1348766482,354337033,-0.397794279404,-2.94002762503,0.760071844115,0.00535656605206,0.0269754270781,0.083520091245,0.996126511992
1307,1348766482,371077060,1348766482,364375960,-0.395028919087,-2.93996185272,0.759243000843,0.00827374028308,0.0267943740988,0.0805327304958,0.996357408793
1308,1348766482,380980014,1348766482,374332733,-0.392944985169,-2.93990554444,0.758202666615,0.00835971359392,0.0273841591248,0.0801875299232,0.996368497626
1309,1348766482,391529083,1348766482,384423617,-0.39046991865,-2.94025977222,0.756490431323,0.00598232877452,0.0309471136,0.0805183116716,0.996254630799
1310,1348766482,401252985,1348766482,394437294,-0.387821452734,-2.94038712713,0.75574678258,0.00600489123916,0.0290734893895,0.080366528625,0.996323187812
